"","Bifidobacterium","Adlercreutzia","Atopobium","Collinsella","Bacteroides","Barnesiella","Butyricimonas","Odoribacter","Parabacteroides","Paraprevotella","Prevotella","Saccharibacteria_genera_incertae_sedis","Chloroplast","Gemella","Granulicatella","Enterococcus","Lactobacillus","Lactococcus","Streptococcus","Clostridium_sensu_stricto","Anaerococcus","Parvimonas","Peptoniphilus","Anaerovorax","Anaerofustis","Eubacterium","Anaerostipes","Blautia","Clostridium_XlVa","Clostridium_XlVb","Howardella","Lachnoanaerobaculum","Lachnospiracea_incertae_sedis","Roseburia","Ruminococcus2","Syntrophococcus","Peptococcus","Clostridium_XI","Anaerofilum","Anaerotruncus","Butyricicoccus","Clostridium_IV","Ethanoligenens","Faecalibacterium","Flavonifractor","Oscillibacter","Pseudoflavonifractor","Ruminococcus","Subdoligranulum","Catenibacterium","Clostridium_XVIII","Coprobacillus","Erysipelotrichaceae_incertae_sedis","Holdemania","Turicibacter","Acidaminococcus","Phascolarctobacterium","Succinispira","Dialister","Veillonella","Clostridium_XIX","Fusobacterium","Acidovorax","Parasutterella","Sutterella","Desulfovibrio","Campylobacter","Citrobacter","Escherichia","Haemophilus","Akkermansia"
"F-019C2U",53,0,0,0,1797,6,0,0,172,4,1,0,0,0,0,0,0,0,46,269,0,0,0,0,0,0,0,94,10,0,0,0,76,199,128,67,0,915,0,0,3,0,0,308,0,2,0,1,0,0,9,0,2,0,9,0,0,18,0,0,0,0,0,22,0,0,0,0,0,9,0
"A17",0,0,0,6,382,1,1,4,22,0,0,0,0,0,0,0,0,1,1,33,0,0,5,0,0,0,0,36,11,0,0,0,184,18,72,23,0,79,4,0,0,36,0,83,0,6,0,126,40,0,44,0,3,1,3,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0
"F-021C2U",14,0,0,0,1558,0,0,7,145,0,0,0,0,0,0,0,0,0,25,46,0,0,0,0,0,0,0,104,22,1,0,0,149,240,181,89,0,113,0,0,17,2,0,862,13,20,0,38,20,0,20,2,2,1,6,0,0,0,19,1,0,0,0,20,0,0,0,0,2,1,2
"F-059-C1A",0,0,0,0,4695,0,0,18,164,0,1,0,0,0,0,0,0,0,4,3,0,0,0,2,0,0,0,238,30,0,0,0,160,4,119,11,0,47,2,0,2,33,0,38,4,24,3,98,4,0,71,1,2,2,1,0,0,0,47,0,0,0,0,17,0,0,0,0,0,0,26
"F-027C2U",11,0,0,1,4128,0,0,2,113,0,0,0,0,0,0,0,0,1,11,7,0,0,0,0,0,0,0,90,36,2,0,0,119,95,189,23,0,286,1,0,9,2,0,713,7,6,7,69,2,0,0,3,2,2,2,0,51,0,3,0,0,0,0,7,0,0,0,0,3,0,15
"F-022C2U",4,1,0,0,2565,71,23,23,92,0,3,0,0,0,0,0,0,0,17,44,0,0,4,1,0,0,0,135,77,0,0,0,77,14,96,86,0,416,6,3,3,1,5,28,35,143,3,48,18,0,0,2,39,0,91,0,29,0,0,0,0,0,0,1,0,0,3,0,2,2,0
"F-039-C2U",1,0,0,0,1246,0,0,16,60,0,1228,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,48,28,0,0,0,81,34,106,19,0,218,1,0,8,3,0,101,1,2,0,54,4,0,4,0,2,0,0,0,0,0,60,0,0,0,0,0,37,0,0,0,0,4,4
"F-028C1A",6,0,0,0,5226,0,0,14,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,68,23,0,0,0,16,5,151,5,0,136,34,0,0,0,0,35,7,13,4,129,3,0,4,3,14,12,8,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0
"F-062-C1A",0,0,0,1,382,10,0,2,30,0,69,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,75,0,0,0,0,184,59,73,11,0,43,0,0,5,27,0,732,2,9,0,32,8,19,1,0,8,0,1,2,24,0,0,0,19,0,0,0,1,2,0,0,0,0,7
"F-016C2U",7,0,0,0,1530,0,0,6,51,15,6,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,12,8,0,0,0,64,18,52,71,0,626,2,0,1,84,0,48,3,1305,0,50,1,0,3,0,0,10,0,0,223,0,0,0,0,0,0,8,0,0,0,0,0,0,8
"F-022C1A",2,2,0,9,3234,106,0,10,64,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,19,12,0,0,0,81,6,20,14,0,347,8,0,0,3,0,148,3,168,1,77,7,0,0,0,2,1,8,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1
"F-037-C2U",105,0,0,1,2319,35,25,0,42,0,0,0,0,0,1,0,2,0,25,0,0,0,0,0,0,0,0,133,19,28,0,0,125,28,270,36,0,4,0,0,4,5,0,402,4,6,0,19,4,0,3,0,1,2,0,0,0,0,47,2,0,0,0,38,0,0,0,0,0,0,0
"F-023C1A",6,0,0,0,5693,42,0,1,35,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,41,6,0,0,0,219,53,62,4,0,90,4,0,2,20,0,93,2,11,2,0,12,0,2,2,1,1,4,0,0,0,0,0,0,0,0,0,38,41,0,0,0,0,3
"F-042-C1A",0,0,0,0,495,53,0,6,65,0,7,0,0,0,0,0,0,0,19,141,0,0,0,2,0,0,0,104,14,0,0,0,278,9,33,5,0,44,0,0,5,0,0,98,3,56,0,221,6,248,1,0,38,1,0,0,0,0,107,1,0,0,0,0,8,26,0,0,0,0,0
"F-008C2U",0,0,0,0,1121,68,0,31,85,0,1292,0,0,0,0,0,0,0,2,5,0,0,0,3,1,0,0,74,3,2,0,0,71,26,61,14,0,57,1,0,10,1,0,372,2,27,0,127,1,0,1,0,9,0,4,0,0,0,52,0,0,0,0,0,4,0,0,0,1,1,1
"A05",5,0,0,0,3211,1,1,25,373,0,0,0,0,0,0,0,0,1,13,33,0,0,0,1,0,0,0,189,11,0,0,1,217,58,72,23,0,233,7,0,0,4,0,47,2,31,0,75,0,0,12,0,6,0,3,0,1,0,19,0,0,3,0,1,0,0,0,0,0,0,154
"F-027C1A",0,0,0,0,5468,33,0,3,33,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,119,3,0,0,0,296,32,91,11,0,97,2,0,4,0,0,561,3,1,5,20,2,0,13,3,3,2,1,0,24,0,0,0,0,0,0,5,0,0,0,0,0,0,9
"F-029C2U",2,0,0,0,4309,0,5,12,49,0,2,0,0,0,0,0,0,0,4,23,0,0,0,2,0,0,0,40,8,0,0,0,227,13,65,40,0,138,2,0,1,10,0,319,0,24,0,158,7,0,2,0,1,1,8,0,1,0,10,0,0,0,0,5,0,0,0,0,0,0,2
"F-039-C1A",2,0,0,1,1880,0,0,10,23,0,1531,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,70,21,0,0,0,98,16,79,4,0,62,1,0,6,1,0,70,2,10,0,123,18,2,1,0,49,0,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,1
"F-001C1A",64,0,0,0,348,0,0,0,9,0,0,0,0,0,0,0,0,50,19,2,0,0,0,2,0,0,0,337,22,7,0,0,338,2,243,0,0,29,1,0,1,1,1,1568,7,8,2,83,2,0,1,0,6,1,3,0,0,0,303,7,0,0,0,14,0,0,1,0,4,0,1
"N19",16,0,0,6,1508,0,1,4,25,0,0,0,0,0,0,0,0,1,4,69,0,0,0,11,1,0,0,194,8,0,0,0,250,78,84,17,0,338,0,0,8,1,0,107,52,6,3,3,17,16,4,0,0,2,3,0,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"A10",278,0,0,0,674,1,1,4,22,0,0,0,0,0,0,0,24,1,30,33,0,0,0,2,0,1,0,36,17,0,0,0,91,18,72,23,0,804,6,0,0,2,1,194,0,16,0,70,0,0,5,2,10,0,41,0,10,0,2,0,0,0,0,1,6,0,0,0,0,0,0
"F-014C2U",3,0,0,0,5269,0,0,3,19,0,1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,178,1,0,0,0,380,3,54,12,0,13,0,0,0,22,0,432,0,0,0,117,0,0,1,2,2,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"F-003C1A",12,0,0,0,5364,0,0,0,17,0,0,0,0,0,7,0,0,0,45,165,0,0,0,0,0,0,0,171,88,0,0,0,528,396,405,30,0,482,2,0,9,5,0,323,1,5,0,5,4,0,39,0,30,3,40,0,0,0,16,54,0,0,0,39,0,0,0,0,61,21,0
"F-060-C1A",1,0,0,0,1622,0,1,5,182,0,0,0,0,0,0,0,58,0,38,215,0,0,0,0,0,0,0,106,17,1,0,0,401,147,141,1,0,136,1,0,2,0,0,292,1,3,1,1,0,0,9,0,0,2,2,0,17,0,0,0,0,2,0,3,0,0,0,0,39,2,0
"N14",6,0,0,1,2525,0,22,4,142,0,0,0,0,0,0,0,0,1,1,69,0,0,0,0,0,0,0,60,17,1,0,0,113,12,84,63,0,101,0,3,1,3,0,17,1,63,1,3,0,16,3,8,0,2,3,0,1,0,1,0,0,0,0,3,18,7,3,0,0,1,16
"F-023C2U",13,0,0,0,426,80,0,0,5,0,1,0,0,0,0,0,0,0,3,20,0,0,0,3,0,0,0,49,14,0,0,0,164,55,37,22,0,537,0,0,10,5,0,516,3,73,1,0,15,0,3,0,0,0,8,0,0,0,35,0,0,0,0,1,90,0,0,0,0,0,4
"F066-C2U",14,0,0,0,4377,0,4,0,303,0,0,0,0,1,0,0,0,0,1,347,0,0,0,0,0,0,0,30,13,0,3,0,210,162,50,5,0,1353,4,0,3,2,0,126,9,5,2,147,1,0,4,0,2,2,110,0,0,0,15,0,0,0,0,3,1,36,0,0,0,1,26
"F-010C1A",2,0,0,0,2429,0,0,4,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,61,2,0,0,0,162,16,68,23,0,139,1,0,0,0,0,198,0,1,0,0,1,0,10,6,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,48
"F-015C1A",0,0,0,0,287,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,0,0,0,30,24,0,0,0,93,8,39,9,0,5,0,0,0,31,2,418,0,540,0,70,19,0,12,0,0,2,0,0,2,0,65,0,0,0,0,1,0,0,0,0,0,0,1
"F-032C1A",302,0,0,0,5746,0,0,6,54,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,142,20,1,0,0,88,21,728,54,0,43,0,0,2,0,0,71,8,7,6,190,28,0,3,2,8,7,1,0,0,0,12,0,0,0,0,7,0,0,0,0,0,1,27
"F-041-C1A",22,0,0,0,1960,46,9,2,62,0,0,1,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,61,14,0,0,0,76,162,157,62,0,510,3,0,13,4,0,169,2,9,0,49,9,0,12,0,4,2,2,0,0,0,0,1,0,0,0,22,0,0,0,0,1,2,5
"A18",37,0,0,0,4006,31,1,4,208,3,0,0,0,0,0,0,0,1,88,33,0,0,0,0,0,0,1,127,22,0,0,0,164,18,72,23,0,303,1,0,1,20,0,148,7,4,2,3,4,0,9,2,3,5,3,49,22,0,2,0,0,0,0,12,0,0,0,4,36,0,0
"F-044-C2U",9,0,0,2,1257,0,0,0,28,25,0,0,0,0,0,0,1,2,47,64,0,0,0,1,0,0,0,123,17,1,0,0,150,62,124,33,0,337,0,0,3,0,0,86,0,6,0,48,2,0,1,0,2,1,10,0,17,0,13,0,0,0,0,11,0,0,0,0,0,7,0
"N04",11,0,0,1,521,50,1,4,95,0,0,0,0,0,0,0,0,1,49,69,0,0,0,1,0,0,0,154,17,4,0,0,206,41,84,17,0,421,12,0,1,22,5,97,4,108,7,186,2,16,15,0,37,6,3,0,45,0,13,0,0,0,0,14,0,0,0,0,0,1,3
"A15",2,0,0,0,5104,1,1,4,4,0,0,0,4,0,0,0,0,1,5,33,1,0,0,0,0,0,0,36,63,0,0,0,15,18,72,23,0,147,1,0,0,0,0,8,23,1,0,389,0,0,8,5,80,0,3,0,1,0,2,33,0,0,0,8,0,0,0,4,2,0,23
"F-061-C2U",1,0,0,0,1833,0,0,5,23,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,81,2,0,0,0,152,25,47,18,0,79,0,0,1,0,3,1138,2,72,0,651,13,0,1,0,10,4,12,0,0,0,25,0,0,0,0,1,0,0,0,61,0,0,0
"F-058-C1A",2,0,0,0,1369,0,0,24,65,61,2,1,0,0,0,0,0,0,3,11,0,0,0,5,0,0,0,33,11,0,0,0,126,23,48,28,0,21,0,0,6,33,0,148,2,29,0,6,12,0,9,0,2,1,2,0,7,0,0,0,0,0,0,0,5,12,0,0,0,0,0
"F-048-C1A",68,0,0,2,1627,59,0,10,69,0,0,0,0,0,0,0,0,0,1,196,0,0,0,0,0,0,0,55,13,0,0,0,189,113,66,41,0,275,1,0,6,0,0,828,3,31,0,5,9,0,5,0,1,0,9,0,0,0,22,0,0,0,0,1,247,0,0,15,10,0,1
"F063-C1U",0,0,0,0,1962,201,0,15,45,0,3,0,0,0,0,0,0,0,2,123,0,0,0,1,0,0,0,54,21,1,0,0,272,183,60,15,0,357,2,1,2,2,0,107,5,7,3,38,1,0,34,0,0,1,58,0,29,0,0,0,0,0,0,7,0,0,0,0,0,1,0
"F-029C1A",10,0,0,0,4527,0,5,18,108,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,0,0,125,21,1,0,0,96,22,110,28,0,9,0,0,1,0,0,372,1,9,0,103,23,0,7,1,0,1,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,9
"A11",13,0,0,0,674,1,1,4,54,0,0,0,0,0,0,0,0,1,17,33,0,0,0,6,0,0,0,127,11,1,0,0,541,18,72,99,0,79,26,0,3,1,0,59,2,1,0,3,0,0,8,0,0,0,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,27
"A14",11,0,0,1,2300,73,1,4,87,0,0,0,0,0,0,0,0,1,1,33,0,0,0,2,1,0,0,94,17,0,0,0,160,18,210,23,0,484,1,0,4,6,0,325,10,59,11,58,5,0,7,0,3,1,3,0,1,0,101,0,0,0,0,19,0,0,0,0,0,0,0
"F-054-C2U",11,0,0,1,2794,19,0,0,55,0,0,0,0,0,0,0,3,5,1,87,0,0,0,0,0,0,0,91,13,1,0,0,221,69,61,16,0,97,0,0,8,42,0,246,2,4,0,121,2,0,4,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,1,1,0
"F-004C2U",1,0,0,0,3240,0,0,0,243,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,118,77,2,0,0,142,9,81,10,0,14,5,0,1,12,0,450,72,20,7,0,0,0,1,0,1,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,53
"N20",3,0,0,1,2368,140,1,71,5,0,0,1,0,0,0,0,0,1,4,69,0,0,0,1,0,0,0,415,8,3,0,0,155,41,84,17,0,26,0,0,3,19,0,296,0,48,3,496,8,16,20,0,19,2,3,0,1,0,32,0,0,0,0,0,25,0,0,0,0,1,4
"N16",2,0,0,0,5463,0,1,23,317,0,0,0,4,0,0,0,0,1,25,69,0,0,0,0,0,1,0,60,41,21,0,0,311,12,276,17,0,157,0,0,0,3,0,343,6,24,0,396,1,16,1,0,3,2,61,0,1,0,16,0,0,0,0,3,0,0,0,0,0,1,2
"F-045-C1A",8,0,0,0,5341,0,0,15,156,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,140,13,0,0,0,215,58,107,37,0,40,0,0,2,0,0,327,0,10,0,0,3,0,5,0,2,2,7,0,68,0,0,0,0,0,0,0,51,0,0,0,0,1,0
